faceOutline,chin,leftEyebrow,rightEyebrow,leftEye,leftIris,rightEye,rightIris,Nose,Mouth,lips,leftEar,rightEar,hair,neckLine,rightJaw,leftJaw
"380,391",,,,,,,,,,,,,,,,
"378,399",,,,,,,,,,,,,,,,
"375,406",,,,,,,,,,,,,,,,
"372,411",,,,,,,,,,,,,,,,
"370,418",,,,,,,,,,,,,,,,
"366,423",,,,,,,,,,,,,,,,
"360,429",,,,,,,,,,,,,,,,
"356,436",,,,,,,,,,,,,,,,
"350,442",,,,,,,,,,,,,,,,
"346,447",,,,,,,,,,,,,,,,
"338,449",,,,,,,,,,,,,,,,
"334,451",,,,,,,,,,,,,,,,
"329,452",,,,,,,,,,,,,,,,
