faceOutline,chin,leftEyebrow,rightEyebrow,leftEye,leftIris,rightEye,rightIris,Nose,Mouth,lips,leftEar,rightEar,hair,neckLine,rightJaw,leftJaw
"390,278",,,,,,,,,,,,,"404,227",,,
"386,285",,,,,,,,,,,,,"404,232",,,
"382,291",,,,,,,,,,,,,"404,237",,,
"382,297",,,,,,,,,,,,,"404,241",,,
"384,304",,,,,,,,,,,,,"404,245",,,
"385,311",,,,,,,,,,,,,"406,251",,,
"379,313",,,,,,,,,,,,,"407,256",,,
"374,316",,,,,,,,,,,,,"408,261",,,
"375,321",,,,,,,,,,,,,"410,266",,,
"374,328",,,,,,,,,,,,,"412,271",,,
"374,336",,,,,,,,,,,,,"412,275",,,
"376,343",,,,,,,,,,,,,"410,280",,,
"379,350",,,,,,,,,,,,,"407,283",,,
"381,356",,,,,,,,,,,,,"405,287",,,
"380,361",,,,,,,,,,,,,"403,293",,,
"380,367",,,,,,,,,,,,,"402,297",,,
"380,374",,,,,,,,,,,,,"401,303",,,
"380,383",,,,,,,,,,,,,"398,307",,,
"380,391",,,,,,,,,,,,,"396,313",,,
"378,399",,,,,,,,,,,,,,,,
"375,406",,,,,,,,,,,,,,,,
"372,411",,,,,,,,,,,,,,,,
"370,418",,,,,,,,,,,,,,,,
"366,423",,,,,,,,,,,,,,,,
"360,429",,,,,,,,,,,,,,,,
"356,436",,,,,,,,,,,,,,,,
"350,442",,,,,,,,,,,,,,,,
"346,447",,,,,,,,,,,,,,,,
"338,449",,,,,,,,,,,,,,,,
"334,451",,,,,,,,,,,,,,,,
"329,452",,,,,,,,,,,,,,,,
